shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff90fcf5a0,0x7fff90ff2c07
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff97d214f0,0x7fff97d36fde
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff92d7e1e0,0x7fff92d916f2
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff902d5384,0x7fff902ec39f
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff93bc7210,0x7fff93be691b
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff8ec8e380,0x7fff8ec96925
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff925f4a20,0x7fff925f9825
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff9191f3b4,0x7fff91923fcb
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff90933ae4,0x7fff90934b2e
shared-library,"/usr/lib/system/libsystem_stats.dylib",0x7fff91a4507c,0x7fff91a48667
shared-library,"/usr/lib/system/libunc.dylib",0x7fff90eb88f3,0x7fff90eb9b60
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff9201a94c,0x7fff9201f388
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff8f0a6b70,0x7fff8f0c0ffe
shared-library,"/usr/lib/libauto.dylib",0x7fff96b0ccd0,0x7fff96b48e80
shared-library,"/usr/lib/libc++abi.dylib",0x7fff96b4fe30,0x7fff96b75995
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff934b518e,0x7fff934b5a22
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff9152ae38,0x7fff91534bfb
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff90cb9b10,0x7fff90e2cd9c
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff98418880,0x7fff9858ab25
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff98110d90,0x7fff981f16ec
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff97daaf30,0x7fff97e221b0
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff989e81f0,0x7fff98a4e42c
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff908c62c0,0x7fff9091819d
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff96c0d4c0,0x7fff96c606c3
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff8dce9be0,0x7fff8dd9cb41
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff918f51e0,0x7fff91918100
shared-library,"/System/Library/Frameworks/SystemConfiguration.framework/Versions/A/SystemConfiguration",0x7fff9453a7f0,0x7fff94590533
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff913ef960,0x7fff914cfb10
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff937cd9f0,0x7fff93895eae
shared-library,"/usr/lib/libxar.1.dylib",0x7fff9151cfd4,0x7fff915287a6
shared-library,"/usr/lib/libpam.2.dylib",0x7fff94608f4c,0x7fff9460bdac
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff938b5dc0,0x7fff938b5f16
